"astro-ph/0410281","Max Tegmark","Max Tegmark","What does inflation really predict?","Replaced to match accepted JCAP version. Improved discussion,
  references. 42 pages, 17 figs","JCAP 0504:001,2005","10.1088/1475-7516/2005/04/001",,"astro-ph gr-qc hep-th",,"  If the inflaton potential has multiple minima, as may be expected in, e.g.,
the string theory ""landscape"", inflation predicts a probability distribution
for the cosmological parameters describing spatial curvature (Omega_tot), dark
energy (rho_Lambda, w, etc.), the primordial density fluctuations (Omega_tot,
dark energy (rho_Lambda, w, etc.). We compute this multivariate probability
distribution for various classes of single-field slow-roll models, exploring
its dependence on the characteristic inflationary energy scales, the shape of
the potential V and and the choice of measure underlying the calculation. We
find that unless the characteristic scale Delta-phi on which V varies happens
to be near the Planck scale, the only aspect of V that matters observationally
is the statistical distribution of its peaks and troughs. For all energy scales
and plausible measures considered, we obtain the predictions Omega_tot ~
1+-0.00001, w=-1 and rho_Lambda in the observed ballpark but uncomfortably
high. The high energy limit predicts n_s ~ 0.96, dn_s/dlnk ~ -0.0006, r ~ 0.15
and n_t ~ -0.02, consistent with observational data and indistinguishable from
eternal phi^2-inflation. The low-energy limit predicts 5 parameters but prefers
larger Q and redder n_s than observed. We discuss the coolness problem, the
smoothness problem and the pothole paradox, which severely limit the viable
class of models and measures. Our findings bode well for detecting an
inflationary gravitational wave signature with future CMB polarization
experiments, with the arguably best-motivated single-field models favoring the
detectable level r ~ 0.03. (Abridged)
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:41:44 GMT""},{""version"":""v2"",""created"":""Fri, 11 Mar 2005 21:00:28 GMT""}]","2009-10-07"
"hep-ex/0410035","Collaboration Secretariat Opal","The OPAL collaboration, G. Abbiendi, et al","Search for Radions at LEP2","18 pages, 6 figures, Submitted to Phys. Lett. B","Phys.Lett.B609:20-34,2005; Erratum-ibid.B637:374-381,2006","10.1016/j.physletb.2005.01.021 10.1016/j.physletb.2006.04.045","CERN-PH-EP/2004-041","hep-ex",,"  A new scalar resonance, called the radion, with couplings to fermions and
bosons similar to those of the Higgs boson, is predicted in the framework of
Randall-Sundrum models, proposed solutions to the hierarchy problem with one
extra dimension. An important distinction between the radion and the Higgs
boson is that the radion would couple directly to gluon pairs, and in
particular its decay products would include a significant fraction of gluon
jets. The radion had the same quantum numbers as the Standard Model (SM) Higgs
boson, and therefore they can mix, with the resulting mass eigenstates having
properties different from those of the SM Higgs boson. Existing searches for
the Higgs boson are sensitive to the possible production and decay of radions
and Higgs bosons in these models. For the first time, searches for the SM Higgs
boson and flavour-independent and decay-mode independent searches for a neutral
Higgs boson are used in combination to explore the parameter space of the
Randall-Sundrum model. In the dataset recorded by the OPAL experiment at LEP,
no evidence for radion or Higgs particle production was observed in any of
those searches. The results are used to set limits on the radion and Higgs
boson masses.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:31:43 GMT""}]","2010-11-05"
"hep-lat/0410016","Shoichi Sasaki","Shoichi Sasaki","Pentaquarks: Status and Perspectives for Lattice Calculations","Talk presented at Lattice2004(plenary), Fermilab, June 21-26, 2004, 7
  pages, 4 figures",,"10.1016/j.nuclphysbps.2004.11.354",,"hep-lat hep-ph",,"  The present status of pentaquark spectroscopy in lattice QCD is reviewed.
This talk also includes a brief introduction of pentaquark baryons.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 08:59:55 GMT""}]","2009-11-10"
"hep-lat/0410017","Irina Pushkina","QCD-TARO Collaboration: I. Pushkina, Ph.de Forcrand, M. Garcia Perez,
  S. Kim, H. Matsufuru, A. Nakamura, I.-O. Stamatescu, T. Takaishi, T. Umeda","Properties of hadron screening masses at small baryonic density","7 pages with 5 figures; added two new references, the title of
  article and the section 'Concluding Remarks' are slightly changed","Phys.Lett. B609 (2005) 265-270","10.1016/j.physletb.2005.01.006","SWAT-415","hep-lat",,"  The properties of hadron screening masses around the deconfinement phase
transition at finite baryonic density can be studied by evaluating the Taylor
coefficients with respect to the iso-scalar and iso-vector chemical potentials.
We simulate 2-flavour lattice QCD with staggered fermions on a 12*12*24*6
lattice with ma = 0.05 and 0.10 and report investigations of nucleon,
pseudo-scalar and vector mesons. We present new, strong evidence that in the
confining phase, the screening masses at vanishing chemical potential have
significant temperature dependence, but the effect of the iso-scalar chemical
potential is very small. Above the critical temperature, the second derivative
terms of mesons rapidly increase as contrasted to the case of baryon. We also
study the responses of the screening masses to an iso-vector chemical potential
and discuss some of the issues related to the properties of hadron masses at
finite density.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 04:42:58 GMT""},{""version"":""v2"",""created"":""Wed, 20 Oct 2004 12:14:07 GMT""},{""version"":""v3"",""created"":""Tue, 4 Jan 2005 08:27:45 GMT""}]","2015-06-25"
"hep-lat/0410018","Tomasz Korzec","F. Knechtli, T. Korzec, B. Leder, U. Wolff","Universality in the Gross-Neveu model","Lattice2004(theory)",,"10.1016/j.nuclphysbps.2004.11.147","SFB/CPP-04-55","hep-lat",,"  We consider universal finite size effects in the large-N limit of the
continuum Gross-Neveu model as well as in its discretized versions with Wilson
and with staggered fermions. After extrapolation to zero lattice spacing the
lattice results are compared to the continuum values.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 12:12:00 GMT""}]","2009-11-10"
"hep-ph/0410166","Marcus M. Weber","M. M. Weber","Precise predictions for Higgs production at e+ e- colliders and
  Numerical calculation of one-loop integrals","15 pages, LaTeX, 4 postscript figures. Talk given at the final
  meeting of the European Network ""Physics at Colliders"", Montpellier,
  September 26-27, 2004","Acta Phys.Polon. B35 (2004) 2655-2669",,,"hep-ph",,"  Some of the most interesting Higgs-production processes at future e+ e-
colliders are of the type e+ e- -> f anti-f H. We present a calculation of the
complete O(alpha) corrections to these processes in the Standard Model for
final-state neutrinos and top quarks. Initial-state radiation beyond O(alpha)
at the leading-logarithmic level as well as QCD corrections are also included.
The electroweak corrections turn out to be sizable and reach the order of
+/-10% and will thus be an important part of precise theoretical predictions
for future e+ e- colliders.
  Furthermore, an overview is given of a technique for a fast and reliable
numerical calculation of multi-leg one-loop integrals. The method is
numerically stable also for exceptional momentum configurations and easily
allows the introduction of complex masses and the calculation of higher orders
in the expansion around D=4.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 16:04:59 GMT""}]","2007-05-23"
"hep-ph/0410169","Asko Jokinen","Rouzbeh Allahverdi, Asko Jokinen and Anupam Mazumdar","Gravitino production from reheating in split supersymmetry","5 pages, RevTeX4, typos corrected, references added","Phys.Rev. D71 (2005) 043505","10.1103/PhysRevD.71.043505","NORDITA-2004-80","hep-ph astro-ph hep-th",,"  We discuss gravitino production from reheating in models where the splitting
between particle and sparticle masses can be larger than TeV, as naturally
arising in the context of split supersymmetry. We show that such a production
typically dominates over thermal contributions arising from the interactions of
gauginos, squarks and sleptons. We constrain the supersymmetry breaking scale
of the relevant sector for a given reheat temperature. However the situation
changes when the gravitinos dominate the Universe and decay before
nucleosynthesis. We briefly describe prospects for a successful baryogenesis
and a viable neutralino dark matter in this case.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 16:13:38 GMT""},{""version"":""v2"",""created"":""Wed, 20 Oct 2004 12:31:34 GMT""}]","2009-11-10"
"hep-ph/0410170","Enrico Lunghi","M. Gronau, E. Lunghi, D. Wyler","Reducing the Error on alpha in B-> pi pi, rho rho, rho pi","10 pages, 2 figures, small corrections, few references added, final
  version to appear in Phys. Lett. B","Phys.Lett. B606 (2005) 95-102","10.1016/j.physletb.2004.11.082",,"hep-ph",,"  Theoretical errors in the extraction of alpha from B -> pi^+ pi^-, rho^+
rho^-, rho pi decays are usually given in terms of upper bounds on
alpha_eff-alpha obtained from isospin or from SU(3) relations, where alpha_eff
is measured through CP asymmetries. We show that mild assumptions about
magnitudes and strong phases of penguin and tree amplitudes (|P/T| < 1 and
|delta| < pi/2) in B -> pi pi and B -> rho rho, imply alpha_eff > alpha, thus
reducing by a factor two the error in alpha. Similarly, the assumptions
|p_+-/t_+-| < 1, |\delta_-| < pi/2 <|\delta_+| in B -> rho pi lead to a
cancellation between two terms in alpha_eff-alpha. Current data support these
conditions.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 16:49:09 GMT""},{""version"":""v2"",""created"":""Thu, 21 Oct 2004 14:46:44 GMT""},{""version"":""v3"",""created"":""Thu, 2 Dec 2004 13:51:34 GMT""}]","2010-04-05"
"hep-ph/0410171","Ruben Flores","Ruben Flores-Mendieta","V_{us} from hyperon semileptonic decays","23 pages, Revtex4, 12 tables, no figures","Phys.Rev. D70 (2004) 114036","10.1103/PhysRevD.70.114036",,"hep-ph",,"  A model-independent determination of the CKM matrix element V_{us} from five
measured strangeness-changing hyperon semileptonic decays is performed. Flavor
SU(3) symmetry breaking effects in the leading vector and axial-vector form
factors are analyzed in the framework of the 1/N_c expansion of QCD. A fit to
experimental data allows one to extract the value V_{us}=0.2199\pm 0.0026,
which is comparable to the one from K_{e3} decays. This reconciliation is
achieved through second-order symmetry breaking effects of a few percent in the
form factors f_1, which increase their magnitudes over their SU(3) predictions.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 17:21:18 GMT""}]","2009-11-10"
"hep-ph/0410172","Sorina Lazanu","S. Lazanu, I. Lazanu","Some possible explanations of the discrepancies in the results of
  modelling the leakage current of detectors after hadron irradiation",,,,,"hep-ph cond-mat.mtrl-sci physics.ins-det",,"  In this contribution we argue that the main discrepancies between model
calculations and experimental data for leakage current after hadron irradiation
could be explained considering the contributions of primary defects in silicon:
vacancy, interstitial and Si_FFCD defect. The source of discrepancies between
data and previous modelling was tentatively attributed to the Si_FFCD defect.
Vacancies and interstitials have a major contribution to the current short time
after irradiation. If these hypotheses are correct, thus, in conditions of
continuous long time irradiation, as e.g. LHC and its upgrades in energy and
luminosity, S-LHC and V-LHC respectively, these contributions will represent a
major problem.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 17:42:59 GMT""}]","2007-05-23"
"hep-ph/0410173","Muriel Pivk","Muriel Pivk","CP violation and the CKM matrix: impact of the asymmetric B Factories","4 pages, 8 figures, Contributed to 32nd International Conference on
  High-Energy Physics (ICHEP 04), Beijing, China, 16-22 Aug 2004",,"10.1142/9789812702227_0176",,"hep-ph",,"  An up-to-date profile of the CKM matrix is presented, with emphasis on the
interpretation of recent CP-violation results from the $B$ factories. The apex
of the Unitarity Triangle is determined by a global CKM fit. A study is
performed to probe the dynamics of B decays into $\pi\pi$, $K\pi$, $\rho\pi$
and $\rho\rho$ within two theoretical frameworks. A model-independent
investigation of New Physics effects in $\Bz\Bzb$ mixing is given.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 18:07:10 GMT""},{""version"":""v2"",""created"":""Wed, 13 Oct 2004 23:35:51 GMT""}]","2017-08-23"
"hep-ph/0410174","Stefan Hesselbach","S. Hesselbach","Effects of CP-violating phases in supersymmetry","13 pages, LaTeX, 7 eps figures, uses appolb.cls, presented at the
  final meeting of the European Network ``Physics at Colliders'', Montpellier,
  September 26 - 27, 2004","Acta Phys.Polon. B35 (2004) 2739-2751",,"UWThPh-2004-30","hep-ph",,"  Recent studies about the impact of the CP-violating complex parameters in
supersymmetry on the decays of third generation squarks and about T-odd
asymmetries in neutralino and chargino production and decay are reviewed. The
CP-even branching ratios of the third generation squarks show a pronounced
dependence on the phases of A_t, A_b, mu and M_1 in a large region of the
supersymmetric parameter space. This could have important implications for stop
and sbottom searches and the MSSM parameter determination in future collider
experiments. We have estimated the expected accuracy in the determination of
the parameters by global fits of measured masses, decay branching ratios and
production cross sections. We have found that the parameter A_t can be
determined with an error of 2 - 3%, whereas the error on A_b is likely to be of
the order of 50 - 100%. In addition we have studied CP-odd observables, like
asymmetries based on triple product correlations, which are necessary to
unambiguously establish CP violation. We have analysed these asymmetries in
neutralino and chargino production with subsequent three-body decays at the
International Linear Collider with longitudinally polarised beams in the MSSM
with complex parameters M_1 and mu. The asymmetries, which appear already at
tree-level because of spin correlation between production and decay, can be as
large as 20% and will therefore be an important tool for the search for
CP-violating effects in supersymmetry.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 18:12:32 GMT""}]","2007-05-23"
