"astro-ph/0412525","Guenter Sigl","Eric Armengaud, Guenter Sigl (GReCO, and APC, Paris), Francesco
  Miniati (ETH Zuerich)","Ultrahigh Energy Nuclei Propagation in a Structured, Magnetized Universe","17 pages, 35 ps figures included","Phys.Rev. D72 (2005) 043009","10.1103/PhysRevD.72.043009",,"astro-ph hep-ph",,"  We compare the propagation of iron and proton nuclei above 10^19 eV in a
structured Universe with source and magnetic field distributions obtained from
a large scale structure simulation and source densities about 10^(-5) Mpc^(-3).
All relevant cosmic ray interactions are taken into account, including
photo-disintegration and propagation of secondary products. Iron injection
predicts spectral shapes different from proton injection which disagree with
existing data below about 30 EeV. Injection of light nuclei or protons must
therefore contribute at these energies. However, at higher energies, existing
data are consistent with injection of pure iron with spectral indices between 2
and 2.4. This allows a significant recovery of the spectrum above roughly 100
EeV, especially in the case of large deflections. Significant auto-correlation
and anisotropy, and considerable cosmic variance are also predicted in this
energy range. The mean atomic mass A fluctuates considerably between different
scenarios. At energies below 60 EeV, if the observed A > 35, magnetic fields
must have a negligible effect on propagation. At the highest energies the
observed flux will be dominated by only a few sources whose location may be
determined by next generation experiments to within 10-20 degrees even if
extra-galactic magnetic fields are important.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:02:28 GMT""}]","2009-11-10"
"hep-th/0412252","Manvelyan Ruben","Ruben Manvelyan and Werner Ruehl","The masses of gauge fields in higher spin field theory on the bulk of
  $AdS_{4}$","18 pages, Latex, V.2, minor corrections,V.3 published in Phys. Lett.
  B, misprints corrected","Phys.Lett. B613 (2005) 197-207","10.1016/j.physletb.2005.03.061",,"hep-th",,"  A local gauge invariant interaction Lagrangian for two gauge fields of spin
$\ell$ and $\ell-2$ $(\ell>2)$ and the scalar field is defined. It gives rise
to one-loop corrections to the gauge field propagator. The loop function
contains the Goldstone boson propagator for gauge symmetry breaking. The
proportionality factor in front of this propagator is the mass squared of the
gauge boson.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 10:00:58 GMT""},{""version"":""v2"",""created"":""Mon, 14 Feb 2005 16:07:20 GMT""},{""version"":""v3"",""created"":""Mon, 10 Jul 2006 07:26:46 GMT""}]","2009-11-10"
"hep-th/0412253","D. Levkov","D. Levkov, S. Sibiryakov","Real-Time Instantons and Suppression of Collision-Induced Tunneling","5 pages, 1 figure, JETP Letters style","JETP Lett. 81 (2005) 53-57; Pisma Zh.Eksp.Teor.Fiz. 81 (2005)
  60-64","10.1134/1.1887914",,"hep-th cond-mat.str-el hep-ph quant-ph",,"  We consider tunneling processes in QFT induced by collisions of elementary
particles. We propose a semiclassical method for estimating the probability of
these processes in the limit of very high collision energy. As an illustration,
we evaluate the maximum probability of induced tunneling between different
vacua in a (1+1)-dimensional scalar model with boundary interaction.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 15:34:23 GMT""}]","2009-11-10"
"hep-th/0412254","Sakura Schafer-Nameki","Sakura Schafer-Nameki","The Algebraic Curve of 1-loop Planar N=4 SYM","34 pages, 2 figures; harvmac (b); v3: discussion of fermionic roots
  expanded, figure and references added","Nucl.Phys. B714 (2005) 3-29","10.1016/j.nuclphysb.2005.02.034","DESY-04-250","hep-th",,"  The algebraic curve for the psu (2,2|4) quantum spin chain is determined from
the thermodynamic limit of the algebraic Bethe ansatz. The Hamiltonian of this
spin chain has been identified with the planar 1-loop dilatation operator of
N=4 SYM. In the dual AdS_5 x S^5 string theory, various properties of the data
defining the curve for the gauge theory are compared to the ones obtained from
semiclassical spinning-string configurations, in particular for the case of
strings on AdS_5 x S^1 and the su(2,2) spin chain agreement of the curves is
shown.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 12:19:50 GMT""},{""version"":""v2"",""created"":""Sat, 8 Jan 2005 22:47:33 GMT""},{""version"":""v3"",""created"":""Tue, 22 Feb 2005 17:38:14 GMT""}]","2010-04-05"
"hep-th/0412256","Juha Honkonen","Juha Honkonen, M. V. Komarova, M. Yu. Nalimov","Instantons for Dynamic Models from B to H","18 pages","Nucl.Phys. B714 (2005) 292-306","10.1016/j.nuclphysb.2005.02.029",,"hep-th",,"  Instanton analysis is applied to models B--H of critical dynamics. It is
shown that the static instanton of the massless $\phi^{4}$ model determines the
large-order asymptotes of the perturbation expansion of these near-equilibrium
dynamic models leading to factorial growth with the order of perturbation
theory.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 13:39:40 GMT""}]","2007-05-23"
"hep-th/0412257","Sergei Alexandrov","Sergei Alexandrov","Complex curves and non-perturbative effects in c=1 string theory","8 pages, Contribution to the proceedings of RTN Workshop, Kolymbari,
  Crete, Greece, 5-10 September 2004","Fortsch.Phys.53:839-845,2005","10.1002/prop.200410236","ITP-UU-04/52, SPIN-04/34","hep-th",,"  We investigate a complex curve in the $c=1$ string theory which provides a
geometric interpretation for different kinds of D-branes. The curve is
constructed for a theory perturbed by a tachyon potential using its matrix
model formulation. The perturbation removes the degeneracy of the non-perturbed
curve and allows to identify its singularities with ZZ branes. Also, using the
constructed curve, we find non-perturbative corrections to the free energy and
elucidate their CFT origin.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 14:02:17 GMT""}]","2011-07-19"
"hep-th/0412258","Giuseppe D'Appollonio","Giuseppe D'Appollonio","The symmetric branes of the H4 WZW model","11 pages, to appear in the proceedings of the RTN Workshop,
  Kolymbari, Greece, 5-10 September 2004","Fortsch.Phys. 53 (2005) 866-873","10.1002/prop.200410237","KCL-MTH-04-17","hep-th",,"  We review the solution of the boundary CFTs that describe the symmetric
branes in the Nappi-Witten gravitational wave, namely D2 and S1 branes. The D2
branes are the twisted branes of the model while the S1 branes are the Cardy
branes. We present in both cases the bulk-boundary couplings and the boundary
three-point couplings and discuss the relation with branes in AdS3 and in S3.
We also discuss the analogy between the open string couplings in the H4 model
and the couplings for magnetized and intersecting branes.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 14:22:01 GMT""},{""version"":""v2"",""created"":""Thu, 13 Jan 2005 16:48:44 GMT""}]","2009-11-10"
"hep-th/0412259","Ray Rivers","R.J. Rivers and F.C.Lombardo","How Phase Transitions induce classical behaviour","10 pages, 1 figure: To be published in the International Journal of
  Theoretical Physics (2005) as part of the Proceedings of the ""Peyresq Physics
  9"" meeting (2004) on ""Micro and Macro structures of spacetime"",ed. E.
  Verdaguer","Int.J.Theor.Phys. 44 (2005) 1855-1874","10.1007/s10773-005-8899-6",,"hep-th",,"  We continue the analysis of the onset of classical behaviour in a scalar
field after a continuous phase transition, in which the system-field, the long
wavelength order parameter of the model, interacts with an environment, of its
own short-wavelength modes and other fields, neutral and charged, with which it
is expected to interact. We compute the decoherence time for the system-field
modes from the master equation and directly from the decoherence functional
(with identical results). In simple circumstances the order parameter field is
classical by the time the transition is complete.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 14:30:27 GMT""}]","2009-11-10"
"math-ph/0412070","Abel Klein","Francois Germinet, Abel Klein, Jeffrey H. Schenker","Dynamical delocalization in random Landau Hamiltonians",,"Ann. of Math., 166 (2007), 215-244",,,"math-ph math.MP",,"  We prove the existence of dynamical delocalization for random Landau
Hamiltonians near each Landau level. Since typically there is dynamical
localization at the edges of each disordered-broadened Landau band, this
implies the existence of at least one dynamical mobility edge at each Landau
band, namely a boundary point between the localization and delocalization
regimes, which we prove to converge to the corresponding Landau level as either
the magnetic field or the disorder goes to zero.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 17:27:58 GMT""}]","2009-04-24"
"math-ph/0412071","Przemyslaw Repetowicz","Przemyslaw Repetowicz, Peter Richmond","Pricing of options on stocks driven by multi-dimensional operator stable
  Levy processes","22 pages, zero figures, LaTeX 2e style file of the International
  Journal of Theoretical and Applied Finance revised on 04/02/2005",,,,"math-ph math.MP q-fin.PR",,"  We model the price of a stock via a Lang\'{e}vin equation with
multi-dimensional fluctuations coupled in the price and in time. We generalize
previous models in that we assume that the fluctuations conditioned on the time
step are compound Poisson processes with operator stable jump intensities. We
derive exact relations for Fourier transforms of the jump intensity in case of
different scaling indices $\underline{\underline{E}}$ of the process. We
express the Fourier transform of the joint probability density of the process
to attain given values at several different times and to attain a given maximal
value in a given time period through Fourier transforms of the jump intensity.
Then we consider a portfolio composed of stocks and of options on stocks and we
derive the Fourier transform of a random variable $\mathfrak{D}_t$ (deviation
of the portfolio) that is defined as a small temporal change of the portfolio
diminished by the the compound interest earned. We show that if the price of
the option at time $t$ satisfies a certain functional equation specified in
text then the deviation of the portfolio has a zero mean $E[ \mathfrak{D}_t ] =
0$ and the option pricing problem may have a solution. We compare our approach
to other approaches that assumed the log-characteristic function of the
fluctuations that drive the stock price to be an analytic function.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 19:24:56 GMT""},{""version"":""v2"",""created"":""Tue, 4 Jan 2005 12:18:42 GMT""},{""version"":""v3"",""created"":""Fri, 4 Feb 2005 20:09:47 GMT""}]","2008-12-10"
"math-ph/0412072","Thomas H. Otway","Thomas H. Otway","Harmonic fields on the extended projective disc and a problem in optics","30 pages; Section 3.3 has been revised","Journal of Mathematical Physics 46, 113501 (2005), 21 pp","10.1063/1.2098529",,"math-ph math.AP math.MP",,"  The Hodge equations for 1-forms are studied on Beltrami's projective disc
model for hyperbolic space. Ideal points lying beyond projective infinity arise
naturally in both the geometric and analytic arguments. An existence theorem
for weakly harmonic 1-fields, changing type on the unit circle, is derived
under Dirichlet conditions imposed on the non-characteristic portion of the
boundary. A similar system arises in the analysis of wave motion near a
caustic. A class of elliptic-hyperbolic boundary-value problems is formulated
for those equations as well. For both classes of boundary-value problems, an
arbitrarily small lower-order perturbation of the equations is shown to yield
solutions which are strong in the sense of Friedrichs.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 19:29:12 GMT""},{""version"":""v2"",""created"":""Tue, 19 Jul 2005 19:51:35 GMT""},{""version"":""v3"",""created"":""Fri, 2 Sep 2005 16:22:37 GMT""},{""version"":""v4"",""created"":""Mon, 2 Apr 2007 04:10:32 GMT""}]","2007-05-23"
"math-ph/0412073","Juergen Rossmann","Vladimir G. Maz'ya, Juergen Rossmann","Lp estimates of solutions to mixed boundary value problems for the
  Stokes system in polyhedral domains","40 pages",,,,"math-ph math.AP math.MP",,"  A mixed boundary value problem for the Stokes system in a polyhedral domain
is considered. Here different boundary conditions (in particular, Dirichlet,
Neumann, free surface conditions) are prescribed on the sides of the
polyhedron. The authors prove the existence of solutions in (weighted and
non-weighted) $L_p$ Sobolev spaces and obtain regularity assertions for weak
solutions. The results are based on point estimates of Green's matrix.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 13:34:19 GMT""}]","2007-05-23"
"math/0412353","Leslie Saper","Leslie Saper","L^2-cohomology of locally symmetric spaces, I","40 pages, AMS-LaTeX, uses Xy-pic 3.7 package; v2: minor typos fixed,
  minor improvements in exposition, treatment in 10.4 of homotopy in
  neighborhoods corrected and simplified (requiring small changes throughout
  section 10), section 13 expanded; v3: minor typos fixed, corrected statement
  of Theorem 1","Pure Appl. Math. Q. 1 (2005), no. 4, 889-937",,,"math.RT math.DG",,"  Let X be a locally symmetric space associated to a reductive algebraic group
G defined over Q. L-modules are a combinatorial analogue of constructible
sheaves on the reductive Borel-Serre compactification of X; they were
introduced in [math.RT/0112251]. That paper also introduced the micro-support
of an L-module, a combinatorial invariant that to a great extent characterizes
the cohomology of the associated sheaf. The theory has been successfully
applied to solve a number of problems concerning the intersection cohomology
and weighted cohomology of the reductive Borel-Serre compactification
[math.RT/0112251], as well as the ordinary cohomology of X [math.RT/0112250].
In this paper we extend the theory so that it covers L^2-cohomology. In
particular we construct an L-module whose cohomology is the L^2-cohomology of X
and we calculate its micro-support. As an application we obtain a new proof of
the conjectures of Borel and Zucker.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 20:11:48 GMT""},{""version"":""v2"",""created"":""Fri, 16 Dec 2005 03:42:56 GMT""},{""version"":""v3"",""created"":""Wed, 11 Jan 2006 06:40:45 GMT""}]","2007-05-23"
"math/0412406","Lars Br\""unjes","Lars Br\""unjes, Christian Serp\'e","Nonstandard Etale Cohomology",,,,,"math.AG math.LO",,"  A lot of good properties of etale cohomology only hold for torsion
coefficients. We use ""enlargement of categories"" as developed in
http://arxiv.org/abs/math.CT/0408177 to define a cohomology theory that
inherits the important properties of etale cohomology while allowing greater
flexibility with the coefficients. In particular, choosing coefficients *Z/P
(for P an infinite prime and *Z the enlargement of Z) gives a Weil cohomology,
and choosing *Z/l^h (for l a finite prime and h an infinite number) allows
comparison with ordinary l-adic cohomology. More generally, for every N in *Z,
we get a category of *Z/N-constructible sheaves with good properties.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:31:48 GMT""}]","2007-05-23"
"math/0412407","Sidney Redner","T. Antal (1,2) and S. Redner (2,1) ((1) Boston University, (2) CNLS,
  Los Alamos National Laboratory)","Excited Random Walk in One Dimension","14 pages, 13 figures, 2-column revtex4 format, for submission to J.
  Phys. A","J. Phys. A 38, 2555-2577 (2005)","10.1088/0305-4470/38/12/002","LA-UR-04-8827","math.PR cond-mat.stat-mech physics.data-an",,"  We study the excited random walk, in which a walk that is at a site that
contains cookies eats one cookie and then hops to the right with probability p
and to the left with probability q=1-p. If the walk hops onto an empty site,
there is no bias. For the 1-excited walk on the half-line (one cookie initially
at each site), the probability of first returning to the starting point at time
t scales as t^{-(2-p)}. Although the average return time to the origin is
infinite for all p, the walk eats, on average, only a finite number of cookies
until this first return when p<1/2. For the infinite line, the probability
distribution for the 1-excited walk has an unusual anomaly at the origin. The
positions of the leftmost and rightmost uneaten cookies can be accurately
estimated by probabilistic arguments and their corresponding distributions have
power-law singularities near the origin. The 2-excited walk on the infinite
line exhibits peculiar features in the regime p>3/4, where the walk is
transient, including a mean displacement that grows as t^{nu}, with nu>1/2
dependent on p, and a breakdown of scaling for the probability distribution of
the walk.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 17:00:28 GMT""}]","2009-11-10"
