"astro-ph/0409159","Daniele Fargion","M. Iori, A. Sergi and D. Fargion","Test results of a prototype designed to detect horizontal cosmic ray
  flux","12 pages, 13 figures",,,,"astro-ph hep-ph",,"  In this paper we report test results from a prototype designed to detect
muons from horizontal air shower at large zenith angle,
  $86^{0}<\Theta<93^{0}$. To detect horizontal tracks and their directions we
select them according the muon vertical equivalent charge and we measure the
time of flight with a time resolution of 800 ps. Several measurements are
collected at different zenith angles. The background studies performed with two
modules show that the main source is due to tracks crossing the module at the
same time. The upper limit of background flux for a single twin module is
estimated to be $10^{-9} cm^{-2}$ $s^{-1}$ $sr^{-1} (90%CL)$. We estimated the
size of the surface array necessary to detect the shower flux of the order of
$10^{-9} cm^{-2}$ $yr^{-1}$ $sr^{-1}$ if originated by Tau Air-Showers
secondaries of GZK neutrino Tau below the horizons.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:02:06 GMT""},{""version"":""v2"",""created"":""Tue, 5 Oct 2004 07:56:25 GMT""}]","2016-08-30"
"hep-th/0409072","Anthony N. Aguirre","Anthony Aguirre, Max Tegmark","Multiple universes, cosmic coincidences, and other dark matters","18 JCAP-style pages, accepted by JCAP. Revised version adds
  references and some clarifications","JCAP 0501:003,2005","10.1088/1475-7516/2005/01/003",,"hep-th astro-ph gr-qc",,"  Even when completely and consistently formulated, a fundamental theory of
physics and cosmological boundary conditions may not give unambiguous and
unique predictions for the universe we observe; indeed inflation, string/M
theory, and quantum cosmology all arguably suggest that we can observe only one
member of an ensemble with diverse properties. How, then, can such theories be
tested? It has been variously asserted that in a future measurement we should
observe the a priori most probable set of predicted properties (the
``bottom-up'' approach), or the most probable set compatible with all current
observations (the ``top-down'' approach), or the most probable set consistent
with the existence of observers (the ``anthropic'' approach). These inhabit a
spectrum of levels of conditionalization and can lead to qualitatively
different predictions. For example, in a context in which the densities of
various species of dark matter vary among members of an ensemble of otherwise
similar regions, from the top-down or anthropic viewpoints -- but not the
bottom-up -- it would be natural for us to observe multiple types of dark
matter with similar contributions to the observed dark matter density. In the
anthropic approach it is also possible in principle to strengthen this argument
and the limit the number of likely dark matter sub-components. In both cases
the argument may be extendible to dark energy or primordial density
perturbations. This implies that the anthropic approach to cosmology,
introduced in part to explain ""coincidences"" between unrelated constituents of
our universe, predicts that more, as-yet-unobserved coincidences should come to
light.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:50:35 GMT""},{""version"":""v2"",""created"":""Tue, 21 Dec 2004 00:05:10 GMT""}]","2009-10-07"
"hep-th/0409082","Andreas Albrecht","Michael Barnard and Andreas Albrecht","On Open Inflation, the string theory landscape and the low CMB
  quadrupole","Five pages including one figure and one table. V2: A ""note added""
  cites very significant earlier papers which give a more sophisticated
  treatment of perturbations in Open Inflation than we give here. We are
  currently applying these techniques and results to the questions raised in
  this paper",,,,"hep-th astro-ph",,"  Cosmologists have embraced a particular ad hoc formula for the primordial
power spectrum from inflation for universes with $\Omega_0 < 1$. However, the
so-called ``Open Inflation'' models, which are attracting renewed interest in
the context of the ``string theory landscape'' give a different result, and
offer a more fully developed picture of the cosmology and fundamental physics
basis for inflation with $\Omega_0 < 1$. The Open Inflation power spectrum
depends not only on $\Omega_0$, but on the parameters of the effective fields
that drive the universe {\em before} the Big Bang (in ``another part of the
landscape''). This paper considers the search for features in CMB temperature
anisotropy data that might reflect a primordial spectrum of the Open Inflation
form. We ask whether this search could teach us about high energy physics that
described the universe before the onset of the Big Bang, and perhaps even
account for the low CMB quadrupole. Unfortunately our conclusion is that the
specific features we consider are unobservable even with future experiments
although we note a possible loophole connected with our use of the thin wall
approximation.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 19:28:04 GMT""},{""version"":""v2"",""created"":""Thu, 9 Sep 2004 21:26:59 GMT""}]","2007-05-23"
"hep-th/0409083","Michael Sarrazin","Michael Sarrazin, Fabrice Petit","Quantum dynamics of particles in a discrete two-branes world model: Can
  matter particles exchange occur between branes?","11 pages, no figures. Final version. Published in Acta Physica
  Polonica B","Acta Phys.Polon. B36 (2005) 1933-1950",,,"hep-th gr-qc hep-ph",,"  In a recent paper, a model for describing the quantum dynamics of massive
particles in a non-commutative two-sheeted spacetime was proposed. This model
considers a universe made with two spacetime sheets embedded in a 5D bulk where
the fifth dimension is restricted to only two points. It was shown that this
construction has several important consequences for the quantum dynamics of
massive particles. Most notably, it was demonstrated that a coupling arises
between the two sheets allowing matter exchange in presence of intense magnetic
vector potentials. In this paper, we show that non-commutative geometry is not
absolutely necessary to obtain such a result since a more traditional approach
allows one to reach a similar conclusion. The fact that two different
approaches provide similar results suggests that standard matter exchange
between branes might finally occur contrary to conventional belief.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:17:11 GMT""},{""version"":""v2"",""created"":""Mon, 7 Mar 2005 14:08:57 GMT""},{""version"":""v3"",""created"":""Fri, 3 Jun 2005 17:37:20 GMT""}]","2007-05-23"
"hep-th/0409084","Michael Sarrazin","Fabrice Petit, Michael Sarrazin","Quantum dynamics of massive particles in a non-commutative two-sheeted
  space-time","10 pages, no figures. Slightly improved version. Accepted for
  publication in Physics Letters B","Phys.Lett. B612 (2005) 105-114","10.1016/j.physletb.2005.03.016",,"hep-th gr-qc hep-ph",,"  We study a formal extension of the Dirac equation in the framework of a
non-commutative two-sheeted space-time. It is shown that this approach
naturally extends the classical Dirac theory by doubling the number of
fermionic states, which can then be identified as matter and hidden-matter
states. Our model exhibit several interesting features that could have
observational consequences. Among them, we predict a small electromagnetic
coupling between matter and hidden matter universes which should lead to
matter/hidden matter oscillations in presence of intense electromagnetic vector
potentials.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:21:26 GMT""},{""version"":""v2"",""created"":""Mon, 7 Mar 2005 14:16:55 GMT""}]","2009-11-10"
"hep-th/0409085","Lutz Moeller","Lutz M\""oller","Second order expansions of action functionals of noncommutative gauge
  theories","17 pages","JHEP0410:063,2004","10.1088/1126-6708/2004/10/063","LMU-TPW 2004-07; MPP-2004-110","hep-th",,"  Field theory and gauge theory on noncommutative spaces have been established
as their own areas of research in recent years. The hope prevails that a
noncommutative gauge theory will deliver testable experimental predictions and
will thus be a serious candidate for an extension of the Standard Model. This
note contains the results for expanded gauge theory actions on a noncommutative
space with constant theta, up to second order, together with a discussion of
the ambiguities of the expanded theory and how they affect the action.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:39:03 GMT""},{""version"":""v2"",""created"":""Fri, 12 Nov 2004 18:22:06 GMT""}]","2008-11-26"
"hep-th/0409086","Jose F. Morales","S. Bellucci, P.-Y. Casteill, J.F. Morales and C. Sochichiu","SL(2) spin chain and spinning strings on AdS_5xS^5","18 pages, 1 fig, References added. Earlier results in [38] are
  pointed out","Nucl.Phys. B707 (2005) 303-320","10.1016/j.nuclphysb.2004.11.020",,"hep-th",,"  We derive the coherent state representation of the integrable spin chain
Hamiltonian with symmetry group SL(2,R). By passing to the continuum limit, we
find a spin chain sigma model describing a string moving on the hyperboloid
SL(2,R)/U(1). The same sigma model is found by considering strings rotating
with large angular momentum in AdS_5xS^5. The spinning strings are identified
with semiclassical coherent states built out of SL(2,R) spin chain states.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:23:25 GMT""},{""version"":""v2"",""created"":""Thu, 9 Sep 2004 13:29:26 GMT""}]","2010-04-05"
"hep-th/0409087","Mario Cesar Baldiotti","D. M. Gitman (1), I. V. Tyutin (2) ((1) U.of Sao Paulo, (2) Lebedev
  Phys. Inst.)","Symmetries in Constrained Systems","The talk on Conference ""Lie and Jordan algebras, their
  Representations and Applications II"", Brazil, Guaruja, 3-8 May 2004, 9 pages,
  LaTex file",,,"IFUSP 1257/2004","hep-th",,"  We describe symmetry structure of a general singular theory (theory with
constraints in the Hamiltonian formulation), and, in particular, we relate the
structure of gauge transformations with the constraint structure. We show that
any symmetry transformation can be represented as a sum of three kinds of
symmetries: global, gauge, and trivial symmetries. We construct explicitly all
the corresponding conserved charges as decompositions in a special constraint
basis. The global part of a symmetry does not vanish on the extremals, and the
corresponding charge does not vanish on the extremals as well. The gauge part
of a symmetry does not vanish on the extremals, but the gauge charge vanishes
on them. We stress that the gauge charge necessarily contains a part that
vanishes linearly in the first-class constraints and the remaining part of the
gauge charge vanishes quadratically on the extremals. The trivial part of any
symmetry vanishes on the extremals, and the corresponding charge vanishes
quadratically on the extremals.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:54:16 GMT""}]","2007-05-23"
"hep-th/0409088","Gianluca Calcagni","Gianluca Calcagni","Braneworld cosmology almost without branes","8 pages, cargese.cls; contribution to Proceedings of Cargese Summer
  School 2004, NATO Science Series C; v2-3: typos corrected",,,"UPRF-2004-16","hep-th astro-ph gr-qc",,"  We review some general aspects of braneworld cosmologies in which an
inflationary period driven by a scalar field confined on the brane is described
by a nonstandard effective Friedmann equation. The perturbation spectra,
consistency equations and observational consequences of these models are
considered.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:55:25 GMT""},{""version"":""v2"",""created"":""Wed, 10 Nov 2004 09:54:47 GMT""},{""version"":""v3"",""created"":""Sat, 20 Nov 2004 14:06:45 GMT""}]","2007-05-23"
"hep-th/0409089","Warren Siegel","Tirthabir Biswas, Marc Grisaru, and Warren Siegel","Linear Regge trajectories from worldsheet lattice parton field theory","30 pages, 5 figures","Nucl.Phys. B708 (2005) 317-344","10.1016/j.nuclphysb.2004.11.004","YITP-SB-04-39","hep-th",,"  We show that unlike conventional field theory, the particle field theory of
the string's constituents produces in the ladder approximation linear Regge
trajectories, in accord with its string theory dual. In this theory propagators
are Gaussian and this feature facilitates the perturbative evaluation of
scattering amplitudes. We develop general techniques for studying their general
asymptotic form. We consider radiative corrections to the ladder Regge
trajectory and discover that linearity is lost; however, this may be due to
certain approximations we have made.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 18:49:06 GMT""}]","2010-04-05"
"hep-th/0409090","Subir Mukhopadhyay","Avijit Mukherjee, Subir Mukhopadhyay and Koushik Ray","Strings, Junctions and Stability","15 pages, LaTeX; references added. typos corrected","JHEP0411:002,2004","10.1088/1126-6708/2004/11/002",,"hep-th",,"  Identification of string junction states of pure SU(2) Seiberg-Witten theory
as B-branes wrapped on a Calabi-Yau manifold in the geometric engineering limit
is discussed. The wrapped branes are known to correspond to objects in the
bounded derived category of coherent sheaves on the projective line $\cp{1}$ in
this limit. We identify the pronged strings with triangles in the underlying
triangulated category using Pi-stability. The spiral strings in the weak
coupling region are interpreted as certain projective resolutions of the
invertible sheaves. We discuss transitions between the spiral strings and
junctions using the grade introduced for Pi-stability through the central
charges of the corresponding objects.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 19:21:38 GMT""},{""version"":""v2"",""created"":""Tue, 14 Sep 2004 19:54:51 GMT""}]","2008-11-26"
"hep-th/0409091","Zachary Guralnik","Z. Guralnik, S. Kovacs, B. Kulik","Less is More: Non-renormalization Theorems from Lower Dimensional
  Superspace","8 pages, based on talk given by Z. Guralnik at 8th Workshop on
  Non-perturbative QCD, Paris, June 2004","Int.J.Mod.Phys. A20 (2005) 4546-4553","10.1142/S0217751X05028193",,"hep-th",,"  We discuss a new class of non-renormalization theorems in N=4 and N=2
Super-Yang-Mills theory, obtained by using a superspace which makes a lower
dimensional subgroup of the full supersymmetry manifest. Certain Wilson loops
(and Wilson lines) belong to the chiral ring of the lower dimensional
supersymmetry algebra, and their expectation values can be computed exactly.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 20:26:22 GMT""}]","2009-11-10"
"hep-th/0409093","Lee Carson Loveridge","Lee C. Loveridge","Effects of Gravity and Finite Temperature on the Decay of the False
  Vacuum","5 pages 1 Figure",,,,"hep-th astro-ph hep-ph",,"  I have calculated the exponential suppression factor in the decay rate of the
false vacuum (per unit volume) for a real scalar field at finite temperature,
in the presence of gravity, in the thin-wall approximation. Temperatures are
assumed to be much greater than the inverse of the nucleation radius. The value
of a local minimum of the scalar potential is arbitrary. Thus, both true and
false vacuua may have arbitrary cosmological constants.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 22:14:33 GMT""}]","2007-05-23"
"hep-th/0409094","Ali Kaya","S. Arapoglu, A. Kaya","D-brane Gases and Stabilization of Extra Dimensions in Dilaton Gravity","5 pages, 3 figures","Phys.Lett. B603 (2004) 107-112","10.1016/j.physletb.2004.10.028",,"hep-th",,"  We consider a toy cosmological model with a gas of wrapped Dp-branes in
10-dimensional dilaton gravity compactified on a p-dimensional Ricci flat
internal manifold. A consistent generalization of the low energy effective
field equations in the presence of a conserved brane source coupled to dilaton
is obtained. It is then shown that the compact dimensions are dynamically
stabilized in string frame as a result of a balance between negative winding
and positive momentum pressures. Curiously, when p=6, i.e. when the observed
space is three dimensional, the dilaton becomes a constant and stabilization in
Einstein frame is also realized.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 07:00:11 GMT""}]","2009-11-10"
